isin,vehicle,name
DE0008404005,Direct line,ALLIANZ (NOM)
US0846707026,Direct line,BERKSHIRE HATHAWAY B
FR0014004L86,Direct line,DASSAULT AVIATION SA
CH0008742519,Direct line,SWISSCOM (NOM)
CH0011075394,Direct line,ZURICH INSURANCE GRP(NOM)
NL0000235190,Direct line,AIRBUS
GB0002634946,Direct line,BAE SYSTEMS
IT0003856405,Direct line,LEONARDO (RAGGR)
SE0021921269,Direct line,SAAB AB B
DE0008402215,Direct line,HANNOVER RUECK (NOM)
GB0008706128,Direct line,LLOYDS BANKING GROUP
XS3315944077,Structured / AMC,SG CHINA NEXT WINNERS 01.06.2099 — a certificate filed under Equities
